dealer,code,BuySell
群益金鼎-大興,1240,11
玉山證券,1240,-5
元富-中壢,1240,3
臺銀-鳳山,1240,-2
元大-內湖,1240,2
新光-台南,1240,-2
國泰-敦南,1240,1
臺銀-臺南,1240,-1
美林,1240,1
統一-桃園,1240,-1
宏遠-新化,1240,1
合庫-桃園,1240,-1
國泰-高雄,1240,1
聯邦-三重,1240,-1
元大-豐原站前,1240,1
國泰-館前,1240,-1
永豐金-敦南,1240,1
群益金鼎-彰化,1240,-1
國票證券,1240,0
富邦-東花蓮,1240,-1
第一金,1240,0
元大-林園,1240,-1
臺銀-金山,1240,0
元大-崇德,1240,-1
臺銀-民權,1240,0
元大-草屯,1240,-1
新光,1240,0
永豐金證券,1240,-1
元大-中壢,1240,0
永豐金-板橋,1240,-1
國泰-板橋,1258,0
國泰-台南,1259,4
元大證券,1259,-4
凱基-竹科,1259,1
富邦-陽明,1259,-2
元大-天母,1259,1
元大-四維,1259,-1
元大-鳳山,1259,1
元大-台南,1259,0
國泰-敦南,1259,0
臺銀-臺南,1259,0
國泰-松江,1259,0
臺銀-臺中,1259,0
華南永昌-小港,1259,0
第一金-台中,1259,0
元富-緯城,1259,0
群益金鼎-中山,1259,0
富邦-新竹,1259,0
永豐金-新莊,1259,0
國泰-敦南,1264,1
永豐金-板新,1264,-3
元大-北港,1264,1
元大證券,1264,-2
兆豐-台中港,1264,1
臺銀-金山,1264,-1
(牛牛牛)亞-鑫豐,1264,1
凱基-台北,1264,-1
華南永昌-台中,1264,1
元大-屏東民生,1264,-1
華南永昌-公誠,1264,1
永豐金-苓雅,1264,1
新光,1264,0
富邦-縣政,1264,0
凱基-高雄,1264,0
統一-嘉義,1264,0
元大-員林中山,1264,0
元大-大益,1264,0
元大-大同,1264,0
國泰-板橋,1264,0
國票證券,1268,76
凱基-站前,1268,-90
港商麥格理,1268,59
國泰證券,1268,-27
摩根大通,1268,39
凱基-和平,1268,-23
元大證券,1268,35
永豐金-松山,1268,-16
統一-南京,1268,29
元富-吉利,1268,-15
凱基,1268,29
元富-城中,1268,-13
美商高盛,1268,20
凱基-新莊,1268,-10
凱基-台北,1268,19
元大-新店中正,1268,-10
新加坡商瑞銀,1268,16
元富-新興,1268,-8
群益金鼎,1268,9
群益金鼎-敦南,1268,-8
富邦證券,1268,8
富邦-鳳山,1268,-8
台灣摩根士丹利,1268,6
致和-南京,1268,-7
群益金鼎-嘉義,1268,6
華南永昌-淡水,1268,-7
玉山-高雄,1268,5
元富-嘉義,1268,-6
港商野村,1268,3
國票-安和,1268,-6
富邦-嘉義,1336,43
宏遠-館前,1336,-69
永豐金-敦南,1336,32
凱基-站前,1336,-35
群益金鼎-鳳山,1336,14
美商高盛,1336,-25
元富-基隆,1336,12
元大-信義,1336,-11
永豐金-市政,1336,10
合庫-自強,1336,-10
中國信託-忠孝,1336,10
美好-富順,1336,-10
富邦-建國,1336,10
群益金鼎-彰化,1336,-10
元大-土城學府,1336,9
新加坡商瑞銀,1336,-9
元大-敦南,1336,9
第一金-忠孝,1336,-6
永豐金-永康,1336,8
美林,1336,-5
中國信託-文心,1336,7
群益金鼎-古亭,1336,-5
第一金-光復,1336,5
富邦-高雄,1336,-5
國泰-敦南,1336,5
永豐金-新莊,1336,-5
凱基-台北,1336,5
合庫-高雄,1336,-4
臺銀,1336,3
元富-三重,1336,-4
元大證券,1565,102
元富-成功,1565,-20
凱基-台北,1565,21
凱基-基隆,1565,-12
摩根大通,1565,15
永興,1565,-11
台灣摩根士丹利,1565,10
玉山-景美,1565,-10
富邦-彰化,1565,9
元大-鳳山,1565,-9
元大-新盛,1565,5
第一金-嘉義,1565,-7
元富-城東,1565,5
第一金-路竹,1565,-7
永豐金-竹北,1565,5
臺銀-新竹,1565,-5
兆豐-天母,1565,5
兆豐-公益,1565,-5
永豐金證券,1565,3
永豐金-復興,1565,-5
亞東-台中,1565,3
富邦-陽明,1565,-5
臺銀-鳳山,1565,3
美林,1565,-4
統一,1565,3
統一-桃園,1565,-4
統一-汐止,1565,3
元富-台中,1565,-4
凱基-虎尾,1565,3
富邦-花蓮,1565,-4
凱基-台北,1569,23
土銀-高雄,1569,-70
元大-高雄,1569,20
統一-竹南,1569,-30
群益金鼎-大興,1569,19
美林,1569,-23
統一-桃園,1569,11
元大-龍潭,1569,-20
國票-天祥,1569,10
美商高盛,1569,-13
玉山-台南,1569,8
光和-嘉義,1569,-10
永豐金-新店,1569,7
臺銀-民權,1569,-8
凱基-復興,1569,6
新加坡商瑞銀,1569,-7
華南永昌-東勢,1569,6
土銀-士林,1569,-5
元大-佳里,1569,6
聯邦商銀,1569,-5
康和-嘉義,1569,5
富邦-陽明,1569,-5
康和-內湖,1569,5
富邦-敦南,1569,-5
康和-高雄,1569,5
統一-台中,1569,-4
新光-台中,1569,5
臺銀-新竹,1569,-3
群益金鼎-新莊,1569,5
台新證券,1569,-3
華南永昌-板橋,1570,20
富邦-仁愛,1570,-32
康和-台中,1570,12
國票-和平,1570,-11
高橋,1570,10
華南永昌-台中,1570,-8
新光,1570,10
亞東-板橋,1570,-7
台新-台中,1570,6
群益金鼎-高雄,1570,-5
兆豐-西螺,1570,5
群益金鼎-三民,1570,-5
元大-草屯,1570,5
台新-左楠,1570,-4
國泰-台中,1570,4
富邦-中壢,1570,-3
群益金鼎-西松,1570,3
元大-板橋,1570,-3
兆豐-寶成,1570,2
元富-潮州,1570,-2
元大-大里,1570,2
元富-林園,1570,-2
國泰-敦南,1570,1
凱基-台北,1570,-2
第一金-中山,1570,1
第一金-台中,1570,-1
盈溢-籬子內,1570,1
玉山-台南,1570,-1
國泰-高雄,1570,1
玉山-台中,1570,-1
大和國泰,1580,50
統一,1580,-50
新光,1580,21
凱基-高雄,1580,-43
亞東,1580,20
康和-內湖,1580,-10
凱基-三重,1580,17
玉山-台南,1580,-10
國泰-敦南,1580,9
元大-景美,1580,-10
元大-林園,1580,5
