name,code,job,stock_num
李建裕,1240,獨立董事,0
韓千山,1240,獨立董事,0
魏恒巍,1240,獨立董事,0
瓏德國際事業股份-黃大中,1240,董事兼副總經理,2269
吳清德,1240,董事長兼總經理,640
茂元國際(股)-羅任芬,1240,董事,744
徐維宏,1240,董事,603
李安宗,1240,經理,27
林信鴻,1240,經理,34
邱紹齊,1240,會計主管,0
黃大中,1240,副總經理,512
鍾亮宏,1240,副總經理,97
羅任芬,1240,法人代表,8
葉明球,1240,協理/財務主管,459
陳偉業,1258,總經理,30
吳文友,1258,獨立董事,0
李弘錦,1258,獨立董事,0
蔡文賢,1258,獨立董事,0
王建山,1258,董事長,4982
陳英傑,1258,董事,0
游志宗,1258,經理,25
劉雪燕,1258,經理,420
高英竣,1258,財會主管,0
王建發,1258,大股東,3974
王詠嫻,1258,大股東,3974
王其祥,1258,大股東,6959
高順興,1259,總經理,88
劉維琪,1259,獨立董事,0
賴瑟珍,1259,獨立董事,0
龔仁文,1259,獨立董事,0
光元實業(股)-高順興,1259,董事兼總經理,8926
日商魔術食品(股)-福光昭夫,1259,董事兼副總經理,8098
光元實業(股)-林建元,1259,董事長,8926
日商魔術食品(股)-前原廣伸,1259,董事,8098
日商魔術食品(股)-瀧深淳,1259,董事,8098
光元實業(股)-黃尚莉,1259,董事,8926
黃茂雄,1259,董事,0
陳弘道,1259,經理,5
何頎胤,1259,副總經理,9
林建元,1259,法人代表,5
施啟寅,1259,協理/財會主管,0
李政寬,1264,獨立董事,0
涂三遷,1264,獨立董事,0
楊蒂敏,1264,獨立董事,0
吳文欽,1264,董事兼總經理,2503
林雪嬌,1264,董事長,1788
吳曜宗,1264,董事,1462
廖本蒼,1264,董事,34
韓銘義,1264,董事,0
曹信忠,1264,董事,0
周中理,1264,經理,2
周允文,1264,副總經理,0
呂榮轉,1264,副總經理,0
江進元,1264,副總經理,11
何文信,1264,副總經理,280
邱俊榮,1264,財會主管,23
林淑婷,1268,總經理,294
陳棠,1268,獨立董事,0
陳順天,1268,獨立董事,0
謝騰隆,1268,獨立董事,0
旺董(有)-賴宗成,1268,董事長,468
固邦(股)-彭邵齡,1268,董事,4213
國協(股)-侯淳淯,1268,董事,2117
陳肇隆,1268,董事,0
羅嶸,1268,副總經理,103
劉子銘,1268,副總經理,154
吳若寧,1268,副總經理,47
柯柏良,1268,財會主管,91
賴宗成,1268,法人代表,336
彭邵齡,1268,法人代表,11
侯宣羽,1268,協理,6
又達興業(股),1268,大股東,14751
蔡鎮隆,1336,總經理,805
林俊儀,1336,獨立董事,0
莊偉民,1336,獨立董事,0
陳怡萍,1336,獨立董事,40
宣德科技(股)-張誌仁,1336,董事兼副總經理,22599
宣德科技(股)-蔡鎮隆,1336,董事長兼總經理,22599
宣德科技(股)-李嘉和,1336,董事,22599
楊劍平,1336,董事,670
黃小凌,1336,副總經理,37
陳金鐘,1336,協理/財會主管,112
陳正文,1336,協理,0
二宮隆義,1336,協理,259
程守真,1565,獨立董事,0
黎昌州,1565,獨立董事,0
盧一言,1565,獨立董事,0
周育然,1565,董事兼總經理,1389
允明投資(股)-陳明賢,1565,董事長兼副總經理,1751
何椿柏,1565,董事,204
褚英傑,1565,董事,402
豹達(股)-陳昱豪,1565,董事,297
陳明賢,1565,副總經理,294
林雅蘋,1565,財會主管,0
陳昱豪,1565,法人代表,129
李俊賢,1569,獨立董事,0
張淳淳,1569,獨立董事,0
蘇二郎,1569,獨立董事,0
蕭欽群,1569,董事兼總經理,7770
李璠,1569,董事兼副總經理/財,74
劉浩雲,1569,董事兼副總經理,299
謝政達,1569,董事兼副總經理,20
蕭欽銘,1569,董事長,9871
黃仁隆,1569,董事,4
黃曾添,1569,董事,0
黃裕能,1569,協理,0
劉家仲,1569,協理,0
林佳融,1569,協理,0
金浩,1569,協理,62
張朝坤,1570,獨立董事,0
陳世國,1570,獨立董事,0
陳建元,1570,獨立董事,0
溫銘漢,1570,董事長兼總經理,355
鄭燕俐,1570,董事,183
溫萬財,1570,董事,3407
郭春忠,1570,董事,504
吳慧彤,1570,董事,1405
李雲仲,1570,董事,409
吳曼群,1570,協理/財會主管,0
涂三遷,1580,獨立董事,0
黃輝煌,1580,獨立董事,0
詹世弘,1580,獨立董事,0
蕭淑娟,1580,董事兼副總經理,124
謝順和,1580,董事長兼總經理,2211
謝銘璟,1580,董事,2113
張育銓,1580,董事,12
張瑞榮,1580,董事,381
吳曜宗,1580,董事,1789
李淑媛,1580,經理,0
王泰盛,1580,經理,0
黃財旺,1580,經理,0
陳宜雯,1580,會計主管,0
陳水土,1580,協理,0
陳志賢,1580,協理,0
翁麗勉,1580,其他,11
林嘉洪,1584,總經理,200
吳怡翰,1584,獨立董事,0
李勝琛,1584,獨立董事,0
林家群,1584,獨立董事,0
蕭立帆,1584,獨立董事,0
台灣鋼鐵(有)-吳柏成,1584,董事兼其他,30000
榮剛材料科技(股)-王炯棻,1584,董事長,20129
榮剛材料科技(股)-陳政祥,1584,董事,20129
榮剛材料科技(股)-趙世傑,1584,董事,20129
台灣鋼鐵(有)-林輝政,1584,董事,30000
蔡政哲,1584,副總經理,257
林美伶,1584,協理/財會主管,0
吳柏成,1584,其他,70
黃湘怡,1586,總經理,113
黃錦煌,1586,獨立董事,0
蔡美娥,1586,獨立董事,0
陳富邦,1586,獨立董事,0
黃亦翔,1586,董事長兼總經理,1998
家全投資(股)-吳家權,1586,董事,5537
戴文成,1586,董事,2178
謝玲,1586,董事,5765
羅泳秋,1586,董事,1413
廖仁傑,1586,會計主管,0
謝玠閔,1586,副總經理,160
陳益莊,1586,財務主管,31
吳家權,1586,法人代表,383
黃淑芳,1586,協理,44
吳金榮,1591,獨立董事,0
李昭賢,1591,獨立董事,0
蕭庭郎,1591,獨立董事,0
江文洲,1591,董事長兼總經理,4890
丁重誠,1591,董事,153
王秀華,1591,董事,5
康連財,1591,董事,1542
深耕開發(股)-許佑正,1591,董事,14
康哲銘,1591,經理,0
陳瑞春,1591,副總經理,0
張志豪,1591,財會主管,106
鉅通投資(有),1591,大股東,3675
李穎哲,1593,總經理,0
林家振,1593,獨立董事,0
郭維裕,1593,獨立董事,0
黃玉瑩,1593,獨立董事,0
汪魯城,1593,董事兼副總經理,890
碩昌投資(股)-連子瑞,1593,董事兼副總經理,1841
李佳蓉,1593,董事長兼副總經理,1391
陳金長,1593,經理,14
黃寧民,1593,副總經理/財會主管,12
吳兆平,1593,協理,70
呂學博,1595,獨立董事,0
張耀勳,1595,獨立董事,0
楊嘉銘,1595,獨立董事,0
張鴻明,1595,董事長兼總經理,2367
呂理宏,1595,董事,73
林昇平,1595,董事,63
唐世翰,1595,董事,2312
蔡龍泉,1595,董事,168
曾昌彥,1595,董事,1301
魏景川,1595,董事,951
陳建堯,1595,副總經理,0
陳軒儀,1595,財會主管,17
簡麗真,1595,協理,526
何明字,1597,獨立董事,0
吳中仁,1597,獨立董事,32
魏乃昌,1597,獨立董事,0
許明哲,1597,董事兼總經理,6137
陳麗芬,1597,董事長兼其他,4020
李安,1597,董事,1508
王陳碧霞,1597,董事,611
鄭昇芳,1597,董事,610
陳敏章,1597,副總經理,54
李柏蒼,1597,財會主管,52
彭瓊茵,1597,協理,601
林志聰,1599,獨立董事,0
陳志昌,1599,獨立董事,0
蔡明堂,1599,獨立董事,0
薛文輝,1599,獨立董事,0
黃惠輝,1599,董事兼副總經理,69
鍾登凱,1599,董事兼副總經理,884
鍾杰霖,1599,董事長兼總經理,5452
王文來,1599,副總經理,0
李智誠,1599,副總經理,0
林佳慧,1599,財會主管,0
傅振祥,1742,總經理,230
陳宗逸,1742,獨立董事,0
黃滿生,1742,獨立董事,0
潘兆偉,1742,獨立董事,0
易利隆投資(股)-林姿均,1742,董事兼副總經理,8283
易利隆投資(股)-林哲印,1742,董事長,8283
遠進(股)-李久恒,1742,董事,14064
遠進(股)-邱森祥,1742,董事,14064
遠進(股)-盧陽正,1742,董事,14064
林姿均,1742,副總經理,1149
遠進(股)-林文哲,1742,副董事長,14064
曾柏堯,1742,財會主管,0
李久恒,1742,法人代表,243
林哲印,1742,法人代表,983
王朝琴,1752,獨立董事,0
張博仁,1752,獨立董事,0
蘇二郎,1752,獨立董事,0
王玉杯,1752,董事兼總經理,3526
陳本松,1752,董事兼副總經理,5470
陳立賢,1752,董事長,2279
林志隆,1752,董事,45
陳本忠,1752,副總經理,4247
蔡文泳,1752,協理/財會主管,18
宋智仁,1752,協理,2
黃國慶,1752,協理,84
陳本龍,1752,協理,4514
林勝利,1752,協理,10
王桂芬,1752,協理,0
正兆投資(股),1752,大股東,20014
蕭振明,1777,總經理,480
王英基,1777,獨立董事,0
吳怡燕,1777,獨立董事,0
陳奇銘,1777,獨立董事,0
生達化學製藥(股)-蕭振明,1777,董事長兼總經理,12676
百事達投資(股)-范滋庭,1777,董事,4846
蔡俊澤,1777,董事,523
陳水清,1777,董事,869
莊美琪,1777,財會主管,30
范滋庭,1777,法人代表,1
林旺鴻,1777,協理,0
洪俊誠,1777,協理,0
吳彬安,1781,獨立董事,0
呂芳榕,1781,獨立董事,0
黃恒獎,1781,獨立董事,0
李紹弘,1781,董事兼總經理,2060
楊國和,1781,董事長兼總經理,1913
洪郁峰,1781,董事,683
連淑真,1781,董事,2528
李淑芬,1781,副總經理/財會主管,169
李玉梁,1781,協理,0
康清原,1784,總經理,116
盛保熙,1784,獨立董事,0
李易達,1784,獨立董事,0
黃少華,1784,獨立董事,0
蔡政憲,1784,董事長,1513
坤倫投資(股)-梁世明,1784,董事,1133
創源生物科技(股)-張漢東,1784,董事,2243
張文正,1784,董事,993
黃慧欣,1784,副總經理,0
劉佩怡,1784,財會主管,4
梁世明,1784,法人代表,240
席宇廷,1784,協理,0
高茂涵,1784,協理,0
李黛苹,1784,協理,0
蔣明宏,1784,協理,0
羅筱雲,1784,協理,0
丁澤祥,1785,獨立董事,0
高峰祈,1785,獨立董事,0
董俊宏,1785,獨立董事,0
昇原投資(股)-洪本展,1785,董事兼副總經理,10405
黃啟峰,1785,董事長兼總經理,6125
馬堅勇,1785,董事,825
趙永昌,1785,董事,0
森啟(股)-李芸芳,1785,董事,38692
森啟(股)-鄭育承,1785,董事,38692
鍾怡歡,1785,副總經理,168
金華,1785,財會主管,15
李芸芳,1785,法人代表,7
胡書華,1785,協理,216
黃明山,1785,協理,40
莊千又,1788,獨立董事,0
陳宏賓,1788,獨立董事,0
楊子萱,1788,獨立董事,0
陳國師,1788,董事兼總經理,443
杏昌投資(股)-李映芬,1788,董事兼副總經理/財,6071
杏昌投資(股)-謝志福,1788,董事兼副總經理,6071
高林實業(股)-李忠良,1788,董事長,2100
高林實業(股)-李錫祿,1788,董事,2100
杏昌投資(股)-陳炳昌,1788,董事,6071
中鈺投資(股)-陳俊宏,1788,董事,40
江秉勳,1788,董事,1251
智品興業(股)-李怡萱,1788,董事,432
張耀元,1788,會計主管,12
李映芬,1788,副總經理/財務主管,186
蔡岳峰,1788,副總經理,0
謝志福,1788,副總經理,173
陳炳昌,1788,法人代表,650
PETAR ANTONO,1795,總經理,103
Hjorleifur P,1795,獨立董事,0
林翰飛,1795,獨立董事,7
顧慕堯,1795,獨立董事,0
香港商 Alvog(股)-PETAR ANTONO,1795,董事兼總經理,134064
香港商 Alvog(股)-Robert Wessm,1795,董事長,134064
香港商 Alvog(股)-Thor Kristja,1795,董事,134064
香港商 Alvog(股)-Yves Hermes,1795,董事,134064
香港商 Alvog(股)-Phannalin Mahawo,1795,董事,134064
香港商 Alvog(股)-Arni Hardars,1795,董事,134064
香港商 Alvog(股)-Krisana Winitthu,1795,董事,134064
香港商 Alvog(股)-Oranee Tangphao,1795,董事,134064
田依菱,1795,副總經理/財會主管,8
沈燁,1795,副總經理,4
Manish Chawl,1795,副總經理,5
Tan Boon Chong D,1795,副總經理,0
Yingming Yue,1795,副總經理,0
Edin Buljubasic,1795,副總經理,0
謝明君,1795,副總經理,0
辜頌惟,1795,其他,9
林世勳,1796,獨立董事,0
邱芳才,1796,獨立董事,0
陳宗民,1796,獨立董事,0
金晉德,1796,董事兼總經理,478
張曉莉,1796,董事長,1573
松延酵素(股)-紀宜仁,1796,董事,849
生展生物科技(股)-范滋庭,1796,董事,12000
生展生物科技(股)-陳威仁,1796,董事,12000
佳格食品(股)-YAO STEVEN YIH C,1796,董事,2145
蕭興義,1796,副總經理,1092
蘇琪棉,1796,財會主管,128
紀宜仁,1796,法人代表,341
James Aiping,1799,總經理,105
陳昭蓉,1799,獨立董事,0
葛之剛,1799,獨立董事,7
廖繼洲,1799,獨立董事,70
Bayberry Man-James Aiping,1799,董事兼總經理,4053
林翰飛,1799,董事長,2802
張振忠,1799,董事,1112
李世仁,1799,董事,1847
中華世紀投資(股)-張子成,1799,董事,26695
中華世紀投資(股)-張志成,1799,董事,26695
李悅寧,1799,副總經理,2490
吳雪君,1799,財會主管,2
李瑞賢,1813,總經理,143
何如祥,1813,獨立董事,0
張文堂,1813,獨立董事,0
宋一新,1813,董事長,2268
張立徽,1813,董事,0
新加坡依視路(股),1813,董事,4155
葉慧貞,1813,董事,960
倪鏡如,1813,副總經理,202
陸芸平,1813,財會主管,0
寶島光學科技(股),1813,大股東,6266
張晉碩,1815,總經理,1463
陳壁程,1815,總經理,1040
陳厚銘,1815,獨立董事,0
薛富井,1815,獨立董事,0
聶建中,1815,獨立董事,0
張元賓,1815,董事長兼其他,4055
商領投資(股)-林育杉,1815,董事,2974
張綺蘭,1815,董事,10
達泰投資(股)-張元輔,1815,董事,59465
德隆倉儲裝卸(股)-張必宏,1815,董事,3121
歐陽弘,1815,董事,6
張可君,1815,經理,0
劉安倉,1815,會計主管,22
林聖尊,1815,副總經理,369
呂季芳,1815,財務主管,0
張必宏,1815,法人代表,73
張元輔,1815,法人代表,131
張致源,1815,協理,520
吳運旭,1815,協理,417
胡銘倫,1815,協理,103
鄭名峰,1815,協理,342
蔡明洲,2035,總經理,35
蔡明曉,2035,獨立董事,0
林乾宗,2035,獨立董事,0
連文濱,2035,獨立董事,0
經濟部(股)-吳豐盛,2035,董事長,40476
臺灣銀行(股)-陳世珍,2035,董事,74802
臺灣銀行(股)-蘇信忠,2035,董事,74802
聯安投資(股)-吳竹山,2035,董事,4141
經濟部(股)-王明隆,2035,董事,40476
中國鋼鐵(股)-陳守道,2035,董事,29861
兆盈投資開發(股)-陳永賢,2035,董事,8898
兆盈投資開發(股)-黃景聰,2035,董事,8898
吳育潔,2035,會計主管,0
劉岳前,2035,副總經理,0
顏國榮,2035,副總經理,46
林郁,2035,財務主管,0
陳世珍,2035,法人代表,5
吳豐盛,2035,法人代表,26
聯輝開發(股),2035,大股東,32050
燁輝企業(股),2035,大股東,39553
陳信宇,2061,總經理,3444
林沛珍,2061,獨立董事,0
王慶龍,2061,獨立董事,9
吳耀庭,2061,獨立董事,0
明泰投資(股)-陳信宇,2061,董事兼總經理,6102
陳福得,2061,董事長,3233
明泰投資(股)-陳姵如,2061,董事,6102
明泰投資(股)-陳操斐,2061,董事,6102
林梅齡,2061,董事,51
黃中庸,2061,經理,651
張琪敏,2061,會計主管,606
王文英,2061,財務主管,64
陳操斐,2061,法人代表,1172
陳姵如,2061,法人代表,649
蔡玉賢,2061,其他,46
陳駿彥,2063,總經理,30
黃北豪,2063,獨立董事,0
陳文哲,2063,獨立董事,0
蘇勝嘉,2063,獨立董事,0
世豐螺絲(股)-陳駿彥,2063,董事兼總經理,3247
杜泰源,2063,董事長,3285
林上安,2063,董事,784
張玉林,2063,董事,481
蔡青城,2063,副總經理,163
王文寬,2063,副總經理,0
鄭守傑,2063,財會主管,10
蕭良賢,2064,總經理,9
藍緯民,2064,獨立董事,0
陳志冠,2064,獨立董事,500
曾琬婷,2064,獨立董事,0
陳譽,2064,董事長,3959
高進義,2064,董事,2773
郭森祥,2064,董事,3003
歐仲軒,2064,董事,1078
黃俊勳,2064,財會主管,0
建新電機(有),2064,大股東,7361
陳駿彥,2065,總經理,553
戴秋華,2065,獨立董事,0
方惠玲,2065,獨立董事,0
洪濬詠,2065,獨立董事,0
世豐投資(股)-陳駿彥,2065,董事兼總經理,4616
杜泰源,2065,董事長,165
杜金陵,2065,董事,0
唯聖投資(有)-杜柏漢,2065,董事,2847
陳秀珠,2065,副總經理/財會主管,172
陳姿吟,2065,協理,20
蘇亦凡,2065,協理,0
蘇勇价,2065,協理,0
麗泰(股),2065,大股東,7600
余征諴,2066,獨立董事,0
黃金川,2066,獨立董事,0
蔡敦浩,2066,獨立董事,0
曾飛誠,2066,董事兼總經理,3
世紀投資(股)-陳光裕,2066,董事長,7120
"Schermbach, Mart",2066,董事,0
岡部株式會社(股)-山崎康信,2066,董事,3032
唐貞觀,2066,經理,0
王智弘,2066,經理,5
陳俊雄,2066,經理,0
方思進,2066,會計主管,0
吳森富,2066,副總經理,53
陳怡樺,2066,財務主管,0
陳光裕,2066,法人代表,867
陳宏智,2066,協理,0
曾韋鈞,2066,協理,0
陳龍芳,2067,總經理,167
黃國軒,2067,獨立董事,0
邱勤善,2067,獨立董事,0
陳萬彬,2067,獨立董事,85
維昱(股)-曹光照,2067,董事長,11160
賴育志,2067,董事,168
賴瑞訓,2067,董事,547
維昱(股)-呂政偉,2067,董事,11160
維昱(股)-林忠輝,2067,董事,11160
鄭湘純,2067,會計主管,12
溫順來,2067,副總經理,101
曹恒健,2067,副董事長,265
蕭景淑,2067,財務主管,1
呂政偉,2067,法人代表,6
曹光照,2067,法人代表,2
周毓誠,2070,總經理,0
吳基逞,2070,獨立董事,25
李佳相,2070,獨立董事,0
蔡瑜真,2070,獨立董事,0
洋鎧投資(股)-吳俊男,2070,董事長,4359
潤茂投資(股)-吳虹臻,2070,董事,3169
潘傳德,2070,董事,777
蔡侑霖,2070,董事,223
楊承霖,2070,副總經理,0
侯雅捷,2070,副總經理,0
徐世恩,2070,財會主管,0
吳俊男,2070,法人代表,3702
吳虹臻,2070,法人代表,1032
鍾志清,2221,總經理,6
謝孟松,2221,獨立董事,9
徐俊成,2221,獨立董事,0
陳蓀裕,2221,獨立董事,48
黃士峰,2221,董事長,17239
曾金池,2221,董事,0
陳文政,2221,董事,12
柯俊任,2221,董事,5
黃詩哲,2221,副總經理,0
楊焜松,2221,副總經理,6
王淑瑜,2221,財務主管,4
吳國彰,2230,獨立董事,0
許森高,2230,獨立董事,0
趙明凱,2230,獨立董事,0
呂萬傑,2230,董事兼總經理,1707
呂萬賢,2230,董事長,3280
呂萬豪,2230,董事,2425
楊凱生,2230,董事,0
張茂發,2230,經理,55
吳美玲,2230,財會主管,0
蔡銘東,2233,總經理,130
駱世民,2233,獨立董事,0
易昌運,2233,獨立董事,0
黃立恒,2233,獨立董事,0
伸興工業(股)-劉俊昌,2233,董事長,14352
伸興工業(股)-劉棟樑,2233,董事,14352
伸興工業(股)-蔡崇廷,2233,董事,14352
弘聚投資(股)-楊德華,2233,董事,12
伸興工業(股)-司晴星,2233,董事,14352
伸興工業(股)-林志誠,2233,董事,14352
藍孟珍,2233,經理,0
劉信宏,2233,經理,0
江政錡,2233,副總經理,0
吳致融,2233,副總經理,0
陳炳和,2233,副總經理,1
吳曉蕊,2233,財會主管,0
楊德華,2233,法人代表,62
劉俊昌,2233,法人代表,1827
