,code,type,name,group,market
0,707491,上櫃認購(售)權證,櫃200T永昌9C購01,,上櫃
1,707492,上櫃認購(售)權證,櫃200T永昌9C購02,,上櫃
2,707493,上櫃認購(售)權證,櫃200T永昌9C購03,,上櫃
3,707494,上櫃認購(售)權證,櫃200T永昌9C購04,,上櫃
4,708287,上櫃認購(售)權證,兆利康和9C購01,,上櫃
5,708924,上櫃認購(售)權證,穩懋永昌9C購01,,上櫃
6,709067,上櫃認購(售)權證,統新統一01購01,,上櫃
7,709239,上櫃認購(售)權證,環球晶第一01購01,,上櫃
8,709609,上櫃認購(售)權證,穩懋元富02購01,,上櫃
9,709610,上櫃認購(售)權證,穩懋元富02購02,,上櫃
10,709611,上櫃認購(售)權證,穩懋元富02購03,,上櫃
11,709612,上櫃認購(售)權證,穩懋元富02購04,,上櫃
12,709664,上櫃認購(售)權證,神盾第一9C購02,,上櫃
13,710165,上櫃認購(售)權證,大學光元大9C購01,,上櫃
14,710395,上櫃認購(售)權證,神盾富邦01購01,,上櫃
15,710652,上櫃認購(售)權證,原相中信03購01,,上櫃
16,710762,上櫃認購(售)權證,穩懋中信9C購01,,上櫃
17,710768,上櫃認購(售)權證,中美晶統一9C購01,,上櫃
18,710769,上櫃認購(售)權證,宏捷科統一9C購01,,上櫃
19,710786,上櫃認購(售)權證,神盾中信9C購01,,上櫃
20,710790,上櫃認購(售)權證,原相國票9C購01,,上櫃
21,710833,上櫃認購(售)權證,群聯中信9C購02,,上櫃
22,710879,上櫃認購(售)權證,神盾國泰01購01,,上櫃
23,710913,上櫃認購(售)權證,雙鴻國泰01購01,,上櫃
24,710914,上櫃認購(售)權證,原相元大01購01,,上櫃
25,710922,上櫃認購(售)權證,聯亞中信01購01,,上櫃
26,710930,上櫃認購(售)權證,群聯統一01購01,,上櫃
27,710950,上櫃認購(售)權證,譜瑞中信03購01,,上櫃
28,710951,上櫃認購(售)權證,譜瑞中信05購01,,上櫃
29,710961,上櫃認購(售)權證,環球晶統一01購01,,上櫃
30,710976,上櫃認購(售)權證,原相元大01購02,,上櫃
31,710977,上櫃認購(售)權證,泰博元大01購01,,上櫃
32,710988,上櫃認購(售)權證,群聯中信01購01,,上櫃
33,710990,上櫃認購(售)權證,頎邦中信01購01,,上櫃
34,710995,上櫃認購(售)權證,群聯統一01購02,,上櫃
35,710996,上櫃認購(售)權證,網家統一01購01,,上櫃
36,710998,上櫃認購(售)權證,大江國泰01購01,,上櫃
37,710999,上櫃認購(售)權證,聯亞國泰01購01,,上櫃
38,711000,上櫃認購(售)權證,雙美國泰01購01,,上櫃
39,711001,上櫃認購(售)權證,環球晶富邦01購01,,上櫃
40,711050,上櫃認購(售)權證,鈊象國泰01購01,,上櫃
41,711056,上櫃認購(售)權證,碩禾中信03購01,,上櫃
42,711064,上櫃認購(售)權證,凡甲統一01購01,,上櫃
43,711068,上櫃認購(售)權證,群聯國泰01購01,,上櫃
44,711075,上櫃認購(售)權證,宇峻元大01購01,,上櫃
45,711084,上櫃認購(售)權證,穩懋富邦01購01,,上櫃
46,711086,上櫃認購(售)權證,威剛凱基01購01,,上櫃
47,711091,上櫃認購(售)權證,弘塑統一01購01,,上櫃
48,711097,上櫃認購(售)權證,中美晶國泰01購01,,上櫃
49,711110,上櫃認購(售)權證,台燿統一01購01,,上櫃
50,711112,上櫃認購(售)權證,穩懋統一01購01,,上櫃
51,711128,上櫃認購(售)權證,金居國泰01購01,,上櫃
52,711129,上櫃認購(售)權證,威剛國泰01購01,,上櫃
53,711130,上櫃認購(售)權證,譜瑞國泰01購01,,上櫃
54,711143,上櫃認購(售)權證,大學光統一02購01,,上櫃
55,711144,上櫃認購(售)權證,寶雅統一01購01,,上櫃
