code,type,name,group,market
700001,上櫃認購(售)權證,新普台新85購01,,上櫃
700002,上櫃認購(售)權證,環球晶台新84購01,,上櫃
700003,上櫃認購(售)權證,中美晶群益84購01,,上櫃
700004,上櫃認購(售)權證,中美晶群益84購02,,上櫃
700005,上櫃認購(售)權證,元太群益84購01,,上櫃
700006,上櫃認購(售)權證,宇隆群益84購01,,上櫃
700007,上櫃認購(售)權證,聯亞群益84購01,,上櫃
700008,上櫃認購(售)權證,中美晶永昌84購03,,上櫃
700009,上櫃認購(售)權證,大國鋼凱基84購01,,上櫃
700010,上櫃認購(售)權證,大國鋼凱基84購02,,上櫃
700011,上櫃認購(售)權證,中美晶凱基84購02,,上櫃
700012,上櫃認購(售)權證,加百裕凱基84購01,,上櫃
700013,上櫃認購(售)權證,宇隆凱基84購01,,上櫃
700014,上櫃認購(售)權證,良維凱基84購01,,上櫃
700015,上櫃認購(售)權證,岳豐凱基84購01,,上櫃
700016,上櫃認購(售)權證,岳豐凱基84購02,,上櫃
700017,上櫃認購(售)權證,昇達科凱基84購02,,上櫃
700018,上櫃認購(售)權證,直得凱基87購01,,上櫃
700019,上櫃認購(售)權證,金可凱基84購01,,上櫃
700020,上櫃認購(售)權證,凱美凱基84購01,,上櫃
700021,上櫃認購(售)權證,撼訊凱基84購01,,上櫃
700022,上櫃認購(售)權證,合晶日盛84購02,,上櫃
700023,上櫃認購(售)權證,伍豐麥證84購01,,上櫃
700024,上櫃認購(售)權證,環球晶麥證84購03,,上櫃
700025,上櫃認購(售)權證,泰博富邦84購01,,上櫃
700026,上櫃認購(售)權證,欣銓宏遠84購01,,上櫃
700027,上櫃認購(售)權證,群聯宏遠84購01,,上櫃
700028,上櫃認購(售)權證,威剛元富87購01,,上櫃
700029,上櫃認購(售)權證,伍豐中信84購01,,上櫃
70002X,上櫃認購(售)權證,世界元大63展02,,上櫃
700030,上櫃認購(售)權證,環球晶中信84購03,,上櫃
700031,上櫃認購(售)權證,中美晶兆豐84購02,,上櫃
700032,上櫃認購(售)權證,中光電元大84購02,,上櫃
700033,上櫃認購(售)權證,中美晶元大84購04,,上櫃
700034,上櫃認購(售)權證,原相元大84購03,,上櫃
700035,上櫃認購(售)權證,漢磊元大84購01,,上櫃
700036,上櫃認購(售)權證,漢磊元大84購02,,上櫃
700037,上櫃認購(售)權證,蜜望實元大84購01,,上櫃
700038,上櫃認購(售)權證,蜜望實元大84購02,,上櫃
700039,上櫃認購(售)權證,立端台新84購01,,上櫃
70003X,上櫃認購(售)權證,新普元大63展02,,上櫃
700040,上櫃認購(售)權證,華研台新85購01,,上櫃
700041,上櫃認購(售)權證,牧德群益85購01,,上櫃
700042,上櫃認購(售)權證,中美晶國票84購01,,上櫃
700043,上櫃認購(售)權證,光頡國票84購01,,上櫃
700044,上櫃認購(售)權證,金可國票84購01,,上櫃
700045,上櫃認購(售)權證,信昌電國票84購02,,上櫃
700046,上櫃認購(售)權證,信昌電國票84購03,,上櫃
700047,上櫃認購(售)權證,信昌電國票84購04,,上櫃
700048,上櫃認購(售)權證,鈊象國票84購01,,上櫃
700049,上櫃認購(售)權證,久元永豐84購01,,上櫃
70004X,上櫃認購(售)權證,頎邦元大63展03,,上櫃
700050,上櫃認購(售)權證,大中永豐84購01,,上櫃
700051,上櫃認購(售)權證,光頡永豐84購01,,上櫃
700052,上櫃認購(售)權證,光頡永豐84購02,,上櫃
700053,上櫃認購(售)權證,良維永豐84購01,,上櫃
700054,上櫃認購(售)權證,信昌電永豐84購02,,上櫃
700055,上櫃認購(售)權證,信昌電永豐84購03,,上櫃
700056,上櫃認購(售)權證,信昌電永豐84購04,,上櫃
700057,上櫃認購(售)權證,華研永豐84購01,,上櫃
700058,上櫃認購(售)權證,雷科永豐84購01,,上櫃
700059,上櫃認購(售)權證,信昌電元富84購01,,上櫃
70005X,上櫃認購(售)權證,精華元大66展02,,上櫃
700060,上櫃認購(售)權證,信昌電元富85購01,,上櫃
700061,上櫃認購(售)權證,信昌電中信84購01,,上櫃
700062,上櫃認購(售)權證,信昌電兆豐84購01,,上櫃
700063,上櫃認購(售)權證,信昌電兆豐85購01,,上櫃
700064,上櫃認購(售)權證,大國鋼統一86購01,,上櫃
700065,上櫃認購(售)權證,光頡統一86購01,,上櫃
700066,上櫃認購(售)權證,牧德統一86購01,,上櫃
700067,上櫃認購(售)權證,信昌電統一87購01,,上櫃
700068,上櫃認購(售)權證,中美晶國泰85購01,,上櫃
700069,上櫃認購(售)權證,VHQ凱基84購01,,上櫃
70006X,上櫃認購(售)權證,良維元大6C展02,,上櫃
700070,上櫃認購(售)權證,台半凱基84購01,,上櫃
700071,上櫃認購(售)權證,台半凱基85購01,,上櫃
700072,上櫃認購(售)權證,光頡凱基84購01,,上櫃
700073,上櫃認購(售)權證,信昌電凱基84購01,,上櫃
700074,上櫃認購(售)權證,信昌電凱基84購02,,上櫃
700075,上櫃認購(售)權證,信昌電凱基84購03,,上櫃
700076,上櫃認購(售)權證,神盾凱基87購01,,上櫃
700077,上櫃認購(售)權證,高技凱基84購01,,上櫃
700078,上櫃認購(售)權證,雷科凱基84購01,,上櫃
700079,上櫃認購(售)權證,漢磊凱基84購01,,上櫃
700080,上櫃認購(售)權證,漢磊凱基84購02,,上櫃
